offerId;productId;veredicto;congelado;motivo
31336;5747;VINCULAR;si;"color Morado; mismo producto bowl-honeycomb-18mm"
31381;10260;VINCULAR;si;"color SMOKEY GRAY; mismo producto diffuser-14mm-14cm"
31374;10260;VINCULAR;si;"color Azul oscuro; mismo producto diffuser-14mm-14cm"
31376;10260;VINCULAR;si;"color AMBAR; mismo producto diffuser-14mm-14cm"
31378;10260;VINCULAR;si;"color Rosa; mismo producto diffuser-14mm-14cm"
31380;10260;VINCULAR;si;"color CLEAR; mismo producto diffuser-14mm-14cm"
31373;10260;VINCULAR;si;"color verde; mismo producto diffuser-14mm-14cm"
31349;5748;VINCULAR;si;"color Verde azulado; mismo producto bowl-perlas-18mm"
31362;5339;VINCULAR;si;"color verde; mismo producto bubbler-kush"
31363;5339;VINCULAR;si;"color azul; mismo producto bubbler-kush"
31386;5340;VINCULAR;si;"color azul; mismo producto fat-candy"
31387;5340;VINCULAR;si;"color verde; mismo producto fat-candy"
31388;5340;VINCULAR;si;"color Ambar; mismo producto fat-candy"
31389;5340;VINCULAR;si;"color Rosa; mismo producto fat-candy"
31390;5340;VINCULAR;si;"color Celeste Transparente; mismo producto fat-candy"
31395;6020;VINCULAR;no;"color verde; mismo producto bowl-14mm"
31394;6020;VINCULAR;no;"color azul; mismo producto bowl-14mm"
31396;6020;VINCULAR;no;"color Ambar; mismo producto bowl-14mm"
31397;6020;VINCULAR;no;"color Negro; mismo producto bowl-14mm"
31398;6020;VINCULAR;no;"color Rosa; mismo producto bowl-14mm"
31400;10363;VINCULAR;no;"color MILK GREEN; mismo producto quemador-hembra-14mm"
31401;10363;VINCULAR;no;"color Morado; mismo producto quemador-hembra-14mm"
31402;10363;VINCULAR;no;"color Rosa; mismo producto quemador-hembra-14mm"
32678;10524;VINCULAR;no;"color Negro; mismo producto smokus-focus/comet"
31428;10214;VINCULAR;no;"color Rosa; mismo producto yocan/vaporizer-hit-2"
31430;10214;VINCULAR;no;"color Morado; mismo producto yocan/vaporizer-hit-2"
31426;10214;VINCULAR;no;"color verde; mismo producto yocan/vaporizer-hit-2"
31427;10214;VINCULAR;no;"color Blanco; mismo producto yocan/vaporizer-hit-2"
31580;10638;VINCULAR;no;"color azul; mismo producto bateria-galaxy-510"
