category,brandKey,modelKey,offers,stores,storeNames,minPrice,maxPrice,spreadPct,sampleTitles
Papelillos,raw,paper-1-1-4-1-1-4,10,3,Astro Growshop | Fumetas | Piranha,990,44990,4444,Papelillos Raw Connoisseur 1 1/4 + Tips | PAPELILLOS BLACK CONNOISSEUR CON TIPS 1 1/4 24U-RAW | PAPELILLOS CONNOISSEUR + TIPS PREENROLADOS 1 1/4 24U-RAW | Porta Papelillo RAW Metálico 1 1/4 | Papelillo RAW Cañamo Orgánico 1 1/4 | PIRANHA | Porta Papelillo RAW Black 1 1/4 | Papelillos Raw Connoisseur 1 1/4 + Pre Rolled Tips | PORTA PAPELILLOS METALICOS 1 1/4- RAW
Papelillos,ocb,paper-1-1-4-1-1-4,4,3,Astro Growshop | Fumetas | Piranha,790,990,25,Papelillo OCB Azul Premium 1 1/4 | Papelillo OCB Blanco 1 1/4 | Papelillo Xpert 1 1/4 Ud-Ocb | OCB Papelillos Rice Sin Blanquear 1 1/4
Conos y blunts,g-rollz,cone-conos-pre-enrolados-king-size,6,2,Fumetas | Piranha,2190,8490,288,G-Rollz 20 Conos Pre Enrolados Lightly Dyed Pink King Size | G-Rollz 20 Conos Pre Enrolados Bio Organic Hemp King Size | Conos PreEnrolados G-Rollz King Size Pink Banksy (3u) | G-Rollz 3 Conos Pre Enrolados Bio Organic Green Hemp King Size | G-Rollz 6 Conos Pre Enrolados Bio Organic Hemp King Size | G-Rollz 6 Conos Pre Enrolados Lightly Dyed Pink King Size
Filtros y boquillas,gizeh,filter-carbon-6mm,5,2,Fumetas | Piranha,2390,9590,301,Boquillas Gizeh Carbón Activo 6mm 34u. | Filtros de Carbón Activado 6mm Gizeh | Boquillas Gizeh Carbón Activo Rainbow 6mm 10 uds | Boquillas Gizeh Pink Carbón Activo 6mm 34u. | Boquillas Gizeh Filtro carbón activo Coconut Charcoal 6mm 10 unidades
Papelillos,blazy-susan,paper-king-size-king-size-slim,5,2,Astro Growshop | GrowBarato Chile,1490,2490,67,Papelillo Pink King Size Slim Deluxe Kit 1U-Blazy Susan | Papelillo King Size Slim Blazy Susan Deluxe Kit Rosado – Papeles de Enrolar Premium | Papelillo King Size Slim Blazy Susan Deluxe Kit Purple – Papeles de enrolar premium | Papelillo King Size Slim Blazy Susan Deluxe Kit Unbleached – Kit de enrolar natural | Papelillo Purple King Size Slim Deluxe Kit 1U-Blazy Susan
Contenedores y estuches,soulblime,container-contenedor,3,2,Astro Growshop | Fumetas,1990,39990,1910,Soulblime Contenedor tapa deslizable - Diseños | Contenedor Con Tapa Diseños Mix Display 9 Und-Soulblime | Soulblime Contenedor Con Tapa Bisagra - Diseños
Conos y blunts,blazy-susan,cone-conos-pre-enrolados-1-1-4,2,2,Fumetas | Piranha,2990,26991,803,Blazy Susan Conos Pre-enrolados Purple 1 1/4 50 uds. | Conos Pre-Enrolados Blazy Susan 1 1/4 6u Unbleached | PIRANHA
Conos y blunts,blazy-susan,cone-king-size-king-size,2,2,Astro Growshop | Fumetas,3490,29990,759,CONOS PRE ROLL KING SIZE JAR 50U-BLAZY SUSAN | Blazy Susan Blunt King Size Cono Natural Wraps x2 - Tea Leaf
Conos y blunts,blazy-susan,cone-conos-pre-enrolados-king-size,2,2,Fumetas | Piranha,2990,26991,803,Blazy Susan Conos Pre-enrolados King Size 50 uds. | Conos Pre-Enrolados Blazy Susan King Size 3u Unbleached | PIRANHA
Contenedores y estuches,ozeta,container-estuche,2,2,GrowBarato Chile | Piranha,19992,21600,8,Estuche Anti-Olor perfecto para el día a día | Estuche Ywiwis Gollo - OZeta | PIRANHA
Papelillos,ocb,paper-king-size-king-size,2,2,Astro Growshop | Fumetas,1790,3090,73,OCB Papelillos Roll Kit Virgin King Size | Papelillo Negro King Size 1U-Ocb
Papelillos,raw,paper-raw-artesano-1-1-4,2,2,Fumetas | Piranha,2290,2290,0,Papelillos RAW Artesano 1 1/4 | Papelillos RAW Artesano 1 1/4
Papelillos,vibes,paper-1-1-4-1-1-4,2,2,Fumetas | Piranha,893,990,11,Papelillo Vibes Cáñamo 1 1/4 | Papelillos Vibes Ultra Finos 1 1/4
Papelillos,vibes,organic-1-1-4,2,2,Astro Growshop | GrowBarato Chile,1300,1990,53,Papelillos Organic Hemp 114 Unidad-Vibes | Papelillos Vibes 1.¼ Organic Hemp
Papelillos,futurola,paper-king-size-king-size,2,2,Fumetas | Piranha,2990,3490,17,Papelillo Tyson x Futurola King Size + Boquilla | PIRANHA | Futurola x Mike Tyson Papelillos King Size + Tips
