type,id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
high-spread,5418,Papelillos RAW Classic King Size Slim - Sabanas,Papelillos,RAW,raw,paper-classic-king-size-slim-king-size-slim,classic-king-size-slim,/productos/raw/classic-king-size-slim,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,990,49990,4949,Fumetas,Astro Growshop,true,true,2026-05-22T15:16:38.980Z,"Papelillos RAW Classic King Size Slim - Sabanas | RAW King Size Slim, papel de fumar | Papelillos RAW Classic King Size Slim | PIRANHA | Papelillos Classic King Size Slim 50 Ud-Raw"
high-spread,5413,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos,Papelillos,BLAZY SUSAN,blazy-susan,paper-king-size-king-size-slim,purple-king-size-slim,/productos/blazy-susan/purple-king-size-slim,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,400,2290,472,GrowBarato Chile,Fumetas,true,true,2026-05-22T15:16:28.202Z,Blazy Susan papelillos king size purple – Papeles de enrolar ultra finos | Papelillo Purple King Size Slim -Blazy Susan | Papelillo King Size Slim Blazy Susan Purple | PIRANHA | Blazy Susan Papelillos En Rollo Purple + Boquillas
high-spread,6326,Papelillo OCB Ultimate 1,Papelillos,OCB,ocb,paper-ocb-ultimate,ultimate,/productos/ocb/ultimate,5,3,Astro Growshop | Fumetas | Piranha,750,2590,245,Fumetas,Piranha,true,true,2026-05-22T15:10:23.358Z,Papelillos OCB Ultimate 1 1/4 | Papelillo OCB Ultimate 1 | Papelillo Ultimate 1 1/4 1U -Ocb | Papelillo OCB Ultimate 1 ¼ | Papelillo OCB Ultimate Rolls Slim | PIRANHA
high-spread,6833,Quemador macho 18mm,Repuestos para bongs y vaporizadores,Bonglab,bonglab,bowl-18mm,bowl-18mm,/productos/bonglab/bowl-18mm,3,2,Astro Growshop | Fumetas,2990,9990,234,Fumetas,Astro Growshop,true,true,2026-05-22T14:55:12.547Z,Quemador macho 18mm | Bonglab Quemador Macho 18mm | Quemador Cerámica Wax Hembra 14-18Mm-Bonglab
high-spread,6834,Bonglab Sujetador difusor 14mm- Diferentes Colores,Repuestos para bongs y vaporizadores,BONGLAB,bonglab,diffuser-14mm,diffuser-14mm,/productos/bonglab/diffuser-14mm,2,2,Astro Growshop | Fumetas,990,2490,152,Fumetas,Astro Growshop,false,true,2026-05-22T15:00:00.335Z,Bonglab Sujetador difusor 14mm- Diferentes Colores | Difusor Perc 135 Mm 14Mm-Bonglab
high-spread,6322,Moledor Bulldog Ámsterdam Metálico Silver 4 Partes,Moledores,BULLDOG,the-bulldog,metal-4-partes,metal-4-partes,/productos/the-bulldog/metal-4-partes,2,2,GrowBarato Chile | Piranha,10700,24990,134,GrowBarato Chile,Piranha,true,true,2026-05-22T15:15:55.254Z,Moledor Bulldog Ámsterdam Metálico Silver 4 Partes | Moledor metálico Bulldog de 4 partes
high-spread,6318,Quemador De 14Mm -Bonglab,Repuestos para bongs y vaporizadores,BONGLAB,bonglab,bowl-14mm,bowl-14mm,/productos/bonglab/bowl-14mm,6,3,Astro Growshop | Fumetas | Piranha,4990,10890,118,Astro Growshop,Fumetas,true,true,2026-05-22T15:13:10.552Z,Quemador De 14Mm -Bonglab | Bonglab Quemador Macho 14mm Clear | Bonglab Quemador Pro 14mm- Diferentes Colores | Quemador Macho Bonglab 14mm | PIRANHA | Bonglab Atrapa cenizas quemador macho 14mm | Bonglab Quemador Macho 14MM Rainbow
high-spread,5463,OCB Slim Ultimate de origen orgánico,Papelillos,OCB,ocb,ultimate-slim,organic,/productos/ocb/organic,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,700,1500,114,GrowBarato Chile,GrowBarato Chile,true,true,2026-05-22T15:17:05.950Z,Papel de fumar de cáñamo orgánico 1 1/4 OCB | Papelillos OCB Cañamo orgánico 1 1/4 | Papelillo Organico de Cañamo1 1/4 1U- Ocb | Papelillo OCB Orgánico 1 ¼ | OCB Slim Ultimate de origen orgánico
high-spread,6353,Calvo Glass Banger Evan Shore 14mm,Accesorios de extraccion,Calvo Glass,calvo,banger-simple-14mm,banger-simple-14mm,/productos/calvo/banger-simple-14mm,2,2,Fumetas | GrowBarato Chile,8990,18900,110,Fumetas,GrowBarato Chile,true,true,2026-05-22T15:18:09.972Z,Calvo Glass Banger Evan Shore 14mm | Banger Regular Full Weld 14 mm Calvo Glass
high-spread,5801,Limpiador de bong Fórmula Secreta 420 250mL,Limpieza,FORMULA SECRETA,formula-secreta,cleaner-bong-pipe-420-250ml,cleaner-bong-pipe-420-250ml,/productos/formula-secreta/cleaner-bong-pipe-420-250ml,3,2,Astro Growshop | Piranha,2994,5990,100,Piranha,Astro Growshop,true,true,2026-05-22T14:47:26.268Z,Limpiador de bong Fórmula Secreta 420 250mL | Limpiador Bong Cherry 250Ml Formula Secreta 420 | Limpiador Bong Manzana 100Ml Formula Secreta 420
