rank,id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
1,5780,Bolso Chestbag 4X4 Con Clave-Ozeta,Contenedores y estuches,OZETA,ozeta,bag-chestbag-4x4-4x4,bag-chestbag-4x4-4x4,/productos/ozeta/bag-chestbag-4x4-4x4,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,0,39700,0,Piranha,GrowBarato Chile,true,true,2026-05-22T18:12:29.167Z,Bolso Chestbag 4X4 Con Clave-Ozeta | Bolso Chestbag 4X4 Con Clave-Ozeta | Ozeta Chestbag 4x4 con clave - Anti-olor | Shoulderbag con Clave Anti-olor OZeta
2,5760,Contenedor Extractos Clear Tapa Blanca 4Ml-Bonglab,Contenedores y estuches,BONGLAB,bonglab,extract-container-extracts-4ml,extract-container-extracts-4ml,/productos/bonglab/extract-container-extracts-4ml,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,2990,3990,33,Astro Growshop,Astro Growshop,true,true,2026-05-22T23:08:05.924Z,Contenedor Extractos Clear Tapa Blanca 4Ml-Bonglab | Contenedor Extracciónes 4mL (Tapa Blanca/Tapa Negra) - BongLab | PIRANHA | Contenedor Extractos BongLab | Bonglab Contenedor De Extractos 4ml | CONTENEDOR EXTRACTOS AL VACIO REDONDO NEGRO 4ML-BONGLAB
3,5763,Ozeta Chestbag Circular 4x4 Con Clave - Anti Olor,Contenedores y estuches,Ozeta,ozeta,bag-chestbag-circular,bag-chestbag-circular,/productos/ozeta/bag-chestbag-circular,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,29913,44900,50,Fumetas,GrowBarato Chile,true,true,2026-05-22T15:16:40.019Z,Ozeta Chestbag Circular 4x4 Con Clave - Anti Olor | Bolso Chestbag Circular 4X4 Con Clave-Ozeta | Chestbag Circular 4x4 c/clave | Lonchera con Clave Anti-Olor Ozeta - GB The Green Brand
4,5761,Ozeta Estuche grande 2022 - Anti-olor,Contenedores y estuches,OZeta,ozeta,case-antiolor-large,case-antiolor-large,/productos/ozeta/case-antiolor-large,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,31990,36990,16,Fumetas,Piranha,true,true,2026-05-22T15:19:03.503Z,"Ozeta Estuche grande 2022 - Anti-olor | Estuche Rígido Grande OZeta – Control de Olores, Alta Capacidad y Discreción | Ozeta Estuche grande 2023 - Anti-olor | Estuche Anti Olor OZeta Grande (Color a elección) | Lonchera Con Clave-Ozeta"
5,5730,Encendedor ZIPPO – Classic High Polish Teal | Grow Barato Chile,Encendedores y sopletes,ZIPPO,zippo,lighter-high-polish-teal,lighter-high-polish-teal,/productos/zippo/lighter-high-polish-teal,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,0,44990,0,Astro Growshop,Fumetas,true,true,2026-05-22T18:12:29.158Z,Encendedor ZIPPO – Classic High Polish Teal | Grow Barato Chile | Encendedor ZIPPO – Classic High Polish Teal | Grow Barato Chile | Encendedor ZIPPO – Classic High Polish Teal | Grow Barato Chile | Encendedor Zippo High Polish Teal Logo
6,5800,Mecha Zippo Original – Repuesto mecha para encendedor | Grow Barato Chile,Encendedores y sopletes,ZIPPO,zippo,wick-zippo-wick,wick,/productos/zippo/wick,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,1800,2190,22,GrowBarato Chile,Astro Growshop,true,true,2026-05-22T15:20:09.088Z,Mecha Zippo Original – Repuesto mecha para encendedor | Grow Barato Chile | Mecha Zippo | Mecha 1 Unidad-Zippo | Zippo Mecha (1u)
7,5502,Moledor New Pro Model Grinder-Galaxy,Moledores,GALAXY,galaxy,new-pro-model,new-pro-model,/productos/galaxy/new-pro-model,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,0,34990,0,GrowBarato Chile,Fumetas,true,true,2026-05-22T18:12:29.143Z,Moledor New Pro Model Grinder-Galaxy | Moledor Moledor New Pro Model Grinder V2.0-Galaxy | Moledor New Pro Model Grinder-Galaxy | Moledor Galaxy New Pro Model 6cm 4 Partes | PIRANHA | Moledor Galaxy Pro Model 63mm
8,5356,Moledor 73MM -Galaxy,Moledores,GALAXY,galaxy,metal-73mm,metal-73mm,/productos/galaxy/metal-73mm,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,0,31990,0,Piranha,Fumetas,true,true,2026-05-22T18:12:29.132Z,Moledor 73MM -Galaxy | Moledor 73MM -Galaxy | Moledor Galaxy 73 mm - Grinder de Aluminio con Tamiz y Compartidor | Moledor Galaxy Aluminio 73 mm
9,5507,Moledor 55MM-Galaxy,Moledores,GALAXY,galaxy,metal-55mm,metal-55mm,/productos/galaxy/metal-55mm,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,6990,15291,119,Fumetas,Piranha,true,true,2026-05-22T15:21:15.223Z,Moledor Darth Vader 40 MM | Moledor 55mm Metálico Rosa | Grinder aluminio | Moledor 55MM-Galaxy | Grinder Galaxy Aluminio 55mm
10,5768,BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracciones | GrowBaratoChile,Accesorios de extraccion,BONGLAB,bonglab,banger-simple-macho-45-14mm,banger-simple-macho-45-14mm,/productos/bonglab/banger-simple-macho-45-14mm,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,0,8990,0,Astro Growshop,Fumetas,true,true,2026-05-22T18:12:29.120Z,BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracciones | GrowBaratoChile | BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracciones | GrowBaratoChile | BongLab Banger Cuarzo Macho 14 mm – Nail Quartz para Extracciones | GrowBaratoChile | BongLab Banger Cuarzo 45° - Macho 14mm
